time,vwap
2020-04-30 15:50,178.5430
2020-04-30 15:49,178.5441
2020-04-30 15:48,178.5450
2020-04-30 15:47,178.5465
2020-04-30 15:46,178.5473
2020-04-30 15:45,178.5478
2020-04-30 15:44,178.5484
2020-04-30 15:43,178.5491
2020-04-30 15:42,178.5509
2020-04-30 15:41,178.5516
2020-04-30 15:40,178.5523
2020-04-30 15:39,178.5530
2020-04-30 15:38,178.5538
2020-04-30 15:37,178.5553
2020-04-30 15:36,178.5561
2020-04-30 15:35,178.5569
2020-04-30 15:34,178.5575
2020-04-30 15:33,178.5576
2020-04-30 15:32,178.5575
2020-04-30 15:31,178.5574
2020-04-30 15:30,178.5573
2020-04-30 15:29,178.5574
2020-04-30 15:28,178.5575
2020-04-30 15:27,178.5577
2020-04-30 15:26,178.5581
2020-04-30 15:25,178.5579
2020-04-30 15:24,178.5575
2020-04-30 15:23,178.5573
2020-04-30 15:22,178.5572
2020-04-30 15:21,178.5576
2020-04-30 15:20,178.5581
2020-04-30 15:19,178.5586
2020-04-30 15:18,178.5591
2020-04-30 15:17,178.5599
2020-04-30 15:16,178.5607
2020-04-30 15:15,178.5626
2020-04-30 15:14,178.5639
2020-04-30 15:13,178.5649
2020-04-30 15:12,178.5662
2020-04-30 15:11,178.5676
2020-04-30 15:10,178.5688
2020-04-30 15:09,178.5699
2020-04-30 15:08,178.5709
2020-04-30 15:07,178.5735
2020-04-30 15:06,178.5752
2020-04-30 15:05,178.5770
2020-04-30 15:04,178.5791
2020-04-30 15:03,178.5806
2020-04-30 15:02,178.5821
2020-04-30 15:01,178.5835
2020-04-30 15:00,178.5847
2020-04-30 14:59,178.5857
2020-04-30 14:58,178.5876
2020-04-30 14:57,178.5908
2020-04-30 14:56,178.5922
2020-04-30 14:55,178.5937
2020-04-30 14:54,178.5953
2020-04-30 14:53,178.5969
2020-04-30 14:52,178.5984
2020-04-30 14:51,178.5999
2020-04-30 14:50,178.6010
2020-04-30 14:49,178.6018
2020-04-30 14:48,178.6032
2020-04-30 14:47,178.6043
2020-04-30 14:46,178.6057
2020-04-30 14:45,178.6072
2020-04-30 14:44,178.6087
2020-04-30 14:43,178.6103
2020-04-30 14:42,178.6124
2020-04-30 14:41,178.6149
2020-04-30 14:40,178.6165
2020-04-30 14:39,178.6183
2020-04-30 14:38,178.6200
2020-04-30 14:37,178.6204
2020-04-30 14:36,178.6210
2020-04-30 14:35,178.6217
2020-04-30 14:34,178.6221
2020-04-30 14:33,178.6223
2020-04-30 14:32,178.6225
2020-04-30 14:31,178.6227
2020-04-30 14:30,178.6229
2020-04-30 14:29,178.6232
2020-04-30 14:28,178.6237
2020-04-30 14:27,178.6244
2020-04-30 14:26,178.6245
2020-04-30 14:25,178.6245
